MouseNo,Condition,Sex,Week,SpecSlope,nmol.minmg,Complex
EQ4-C2,Pers,M,16,-0.004901406,158.109871,CI
EQ4-C2,Pers,M,16,-0.002493146,65.26560209,CII
EQ4-C2,Pers,M,16,6.40E-05,4.326576577,CIII
EQ4-C2,Pers,M,16,-0.001994298,215.5998198,CIV
EQ4-C2,Pers,M,16,0.034665775,2548.954069,CS
EQ4-C3,Pers,M,16,-0.002745655,88.5695,CI
EQ4-C3,Pers,M,16,-0.000623414,16.31973822,CII
EQ4-C3,Pers,M,16,6.43E-05,4.342342342,CIII
EQ4-C3,Pers,M,16,-0.001070953,115.7787027,CIV
EQ4-C3,Pers,M,16,0.03920932,2883.038235,CS
EQ4-D1,Ctl,M,16,-0.00630283,203.3170968,CI
EQ4-D1,Ctl,M,16,-0.005562874,145.6249738,CII
EQ4-D1,Ctl,M,16,8.61E-05,5.820045045,CIII
EQ4-D1,Ctl,M,16,-0.001406082,152.0088288,CIV
EQ4-D1,Ctl,M,16,0.036636109,2693.831569,CS
EQ4-D2,Ctl,M,16,-0.010909187,351.9092581,CI
EQ4-D2,Ctl,M,16,-0.004318194,113.0417277,CII
EQ4-D2,Ctl,M,16,6.60E-05,4.461711712,CIII
EQ4-D2,Ctl,M,16,-0.001768451,191.1838919,CIV
EQ4-D2,Ctl,M,16,0.038161447,2805.988725,CS
EQ4-D3,Ctl,M,16,-0.00928719,299.5867634,CI
EQ4-D3,Ctl,M,16,-0.003913521,102.4481806,CII
EQ4-D3,Ctl,M,16,7.62E-05,5.146396396,CIII
EQ4-D3,Ctl,M,16,-0.001602471,173.2400721,CIV
EQ4-D3,Ctl,M,16,0.032720907,2405.94902,CS
EQ4-D4,Ctl,M,16,-0.010130098,326.7773441,CI
EQ4-D4,Ctl,M,16,-0.003717787,97.32426702,CII
EQ4-D4,Ctl,M,16,6.57E-05,4.436936937,CIII
EQ4-D4,Ctl,M,16,-0.002006652,216.9353153,CIV
EQ4-D4,Ctl,M,16,0.032987013,2425.515662,CS
EQ4-F1,Ctl,M,8,-0.008731868,281.6731613,CI
EQ4-F1,Ctl,M,8,-0.006633235,173.644904,CII
EQ4-F1,Ctl,M,8,0.000111799,7.553986486,CIII
EQ4-F1,Ctl,M,8,-0.002573942,278.264,CIV
EQ4-F1,Ctl,M,8,0.039862138,2931.039559,CS
EQ4-F2,Ctl,M,8,-0.008611412,277.7874839,CI
EQ4-F2,Ctl,M,8,-0.00438618,114.821466,CII
EQ4-F2,Ctl,M,8,8.28E-05,5.597252252,CIII
EQ4-F2,Ctl,M,8,-0.001660714,179.5366486,CIV
EQ4-F2,Ctl,M,8,0.033703963,2478.232549,CS
EQ4-F3,Ctl,M,8,-0.007894952,254.675871,CI
EQ4-F3,Ctl,M,8,-0.004117988,107.8007243,CII
EQ4-F3,Ctl,M,8,8.46E-05,5.713963964,CIII
EQ4-F3,Ctl,M,8,-0.001442501,155.9460541,CIV
EQ4-F3,Ctl,M,8,0.039268398,2887.38223,CS
EQ4-G1,Rapa,M,16,-0.005765217,185.9747312,CI
EQ4-G1,Rapa,M,16,-0.005336798,139.7067539,CII
EQ4-G1,Rapa,M,16,6.93E-05,4.684684685,CIII
EQ4-G1,Rapa,M,16,-0.002424771,262.1373694,CIV
EQ4-G1,Rapa,M,16,0.033994143,2499.569338,CS
EQ4-G2,Rapa,M,16,-0.005612038,181.0334839,CI
EQ4-G2,Rapa,M,16,-0.004401596,115.2250262,CII
EQ4-G2,Rapa,M,16,6.32E-05,4.266891892,CIII
EQ4-G2,Rapa,M,16,-0.002143491,231.7287207,CIV
EQ4-G2,Rapa,M,16,0.037105933,2728.377426,CS
EQ4-G3,Rapa,M,16,-0.007092028,228.7750968,CI
EQ4-G3,Rapa,M,16,-0.004501693,117.8453578,CII
EQ4-G3,Rapa,M,16,6.12E-05,4.137387387,CIII
