Sample,Condition,Sex,Week,BodyWeight,IVSd,LVIDd,LVPWd,LVIDs,EF,FS,IVRT,A.durr,E.durr,Ea.Aa
EQ4-A1,Control,M,0,32.9,1.2,3.5,0.7,1.8,85.42,47.37,8,44,12,1.120
EQ4-A2,Control,M,0,30,0.7,3.5,1.1,1.8,85.42,47.37,24,36,32,1.000
EQ4-A3,Control,M,0,35.8,0.9,5.2,0.6,2.9,82.31,43.86,8,44,12,1.030
EQ4-A4,Control,M,0,37.4,0.7,3.3,1.1,1.5,91.22,55.56,4,28,24,1.120
EQ4-B1,Rapa,M,0,36.6,0.8,3.9,0.5,2.5,75.24,37.21,20,40,12,1.140
EQ4-B2,Rapa,M,0,34.3,0.9,4.4,0.9,2.6,80.15,41.67,16,40,28,0.930
EQ4-B3,Rapa,M,0,37.3,0.6,4.6,0.7,3.2,65.7,30,0,60,20,1.080
EQ4-B4,Rapa,M,0,33.4,0.9,3.7,1,1.9,85.53,47.5,4,44,12,1.110
EQ4-C1,Pers,M,0,33.7,0.8,4.2,0.6,2.5,79.78,41.3,8,56,20,1.050
EQ4-C2,Pers,M,0,35.9,0.6,4.2,0.6,2.4,81.94,43.48,0,40,12,1.000
EQ4-C3,Pers,M,0,30.9,0.8,3.7,0.8,1.8,88.39,51.22,12,36,12,1.070
EQ4-D1,Control,M,0,35.2,0.6,4,0.6,2.5,76.89,38.64,12,48,16,1.120
EQ4-D2,Control,M,0,35.1,1.1,3.8,0.8,2.2,81.64,42.86,0,48,12,1.170
EQ4-D3,Control,M,0,35.3,0.9,3.9,0.8,2.5,75.24,37.21,20,44,16,1.155
EQ4-D4,Control,M,0,36.9,0.8,3.7,0.4,2.1,82.35,43.9,4,52,8,1.180
EQ4-E1,Rapa,M,0,32.7,0.4,4.7,0.4,2.6,81.61,43.14,8,48,20,1.255
EQ4-E2,Rapa,M,0,32,0.5,4.4,0.7,2.6,80.15,41.67,8,48,4,1.125
EQ4-E3,Rapa,M,0,29.9,0.7,4.2,0.6,2.9,66.34,30.43,8,44,20,1.180
EQ4-F1,Control,M,0,36,0.9,3.6,0.9,1.9,84.39,46.15,16,40,20,1.040
EQ4-F2,Control,M,0,32.1,1,3.4,0.8,1.8,84.21,45.95,16,44,20,1.070
EQ4-F3,Control,M,0,34.1,0.9,4.2,0.8,2.3,83.95,45.65,12,44,20,1.110
EQ4-F4,Control,M,0,,,,,,,,,,,
EQ4-G1,Rapa,M,0,41.1,0.5,3.8,0.5,2.5,73.43,35.71,8,44,12,1.060
EQ4-G2,Rapa,M,0,38.2,0.6,4.2,0.7,2.4,81.94,43.48,4,36,12,1.070
EQ4-G3,Rapa,M,0,33.7,0.7,4,0.6,2.6,71.37,34.09,8,44,12,1.120
EQ4-G4,Rapa,M,0,42,0.9,3.2,0.6,1.6,86.4,48.57,8,44,20,1.070
EQ4-H1,Pers,M,0,37.7,0.8,3.4,0.7,1.7,86.46,48.65,16,52,12,1.040
EQ4-H2,Pers,M,0,36,0.5,4.1,0.5,2.7,70.37,33.33,8,48,16,1.230
EQ4-H3,Pers,M,0,32.9,0.7,4.2,0.6,2.6,77.45,39.13,16,44,24,1.160
EQ4-H4,Pers,M,0,34.8,1.1,3.6,0.7,2.3,73.66,35.9,8,40,16,1.130
EQ4-I1,Rapa,M,0,32.1,0.6,3.9,0.9,2.6,72.39,34.88,20,52,20,1.140
EQ4-I2,Rapa,M,0,32.2,0.5,4.3,0.7,2.9,68.44,31.91,12,48,8,1.030
EQ4-I3,Rapa,M,0,37.2,0.7,3.7,0.5,1.9,86.56,48.78,0,44,8,1.160
EQ4-J1,Pers,M,0,32.5,0.5,4.2,0.8,2.7,72.26,34.78,28,56,32,1.175
EQ4-J2,Pers,M,0,33.3,0.8,3.6,0.7,2.2,76.7,38.46,12,48,12,1.080
EQ4-J3,Pers,M,0,32.4,0.6,3.8,0.6,2.4,76.28,38.1,4,44,12,1.030
EQ4-K1,Control,M,0,34.4,0.6,3.2,0.8,1.9,78.4,40,12,40,28,1.000
EQ4-K2,Control,M,0,35.5,0.5,4,0.7,2.4,79.37,40.91,16,52,20,
EQ4-L1,Pers,M,0,40.5,0.8,4.5,0.7,3,69.45,32.65,12,40,4,1.090
EQ4-L2,Pers,M,0,34.9,0.6,4.7,0.8,2.6,81.61,43.14,4,40,16,1.100
EQ4-L3,Pers,M,0,35.8,0.8,3.4,0.9,1.6,90.3,54.05,16,52,8,1.140
EQ4-L4,Pers,M,0,36.5,0.8,3.7,0.9,2.2,79.94,41.46,16,48,20,1.070
EQ4-M1,Control,M,0,40.1,0.6,4.6,0.5,2.8,76.17,38,24,44,36,1.120
EQ4-M2,Control,M,0,36.5,0.6,4.6,0.6,3.3,62.68,28,8,40,24,1.130
EQ4-M3,Control,M,0,36.5,0.7,4.5,0.5,2.6,81.34,42.86,0,40,4,0.920
EQ4-M4,Control,M,0,,,,,,,,,,,
EQ4-N1,Control,M,0,41.2,1.2,3.4,0.9,1.3,94.58,62.16,8,44,16,1.000
EQ4-N2,Control,M,0,35.9,0.5,3.9,0.6,2.1,84.7,46.51,12,40,12,0.900
EQ4-N3,Control,M,0,34.9,0.9,3.8,0.6,2.2,81.34,42.86,8,40,12,1.030
EQ4-O1,Rapa,M,0,37.1,1.1,3.8,0.8,1.8,89.2,52.38,16,40,24,0.990
EQ4-O2,Rapa,M,0,35.9,0.7,4.3,0.6,3.4,51.21,21.28,20,40,28,1.050
EQ4-O3,Rapa,M,0,34.7,0.8,3.1,1,1.7,82.55,44.12,16,40,16,1.030
EQ4-O4,Rapa,M,0,34.6,0.6,3.7,0.6,1.9,86.56,48.78,4,44,8,1.000
EQ4-P1,Control,M,0,35.4,0.6,3.6,0.7,1.8,86.51,48.72,16,40,20,1.000
EQ4-P2,Control,M,0,35.9,1,3.5,1,1.7,87.5,50,12,40,12,1.000
EQ4-P3,Control,M,0,32.9,0.5,3.7,0.6,1.8,87.5,50,16,36,16,1.050
EQ4-Q1,Rapa,M,0,42.3,0.7,3.8,0.6,2.1,83.58,45.24,28,40,32,1.110
EQ4-Q2,Rapa,M,0,33.1,1,3,0.6,1.6,83.77,45.45,12,40,20,1.120
EQ4-Q3,Rapa,M,0,33.8,0.7,4.2,0.5,2.7,72.26,34.78,20,48,12,1.040
EQ4-Q4,Rapa,M,0,31,0.7,3.2,0.6,1.6,88.54,51.43,16,40,0,1.310
EQ4-R1,Control,M,0,34.3,0.6,3.7,0.6,2.2,79.94,41.46,12,36,20,
EQ4-R2,Control,M,0,34.6,0.5,3,0.9,1.6,83.77,45.45,12,44,12,1.060
EQ4-R3,Control,M,0,,,,,,,,,,,
EQ4-S1,Pers,M,0,39.6,0.6,3.8,0.7,2,85.63,47.62,20,44,8,1.150
EQ4-S2,Pers,M,0,37.5,1.1,3.4,0.5,1.8,84.21,45.95,16,44,20,0.910
EQ4-S3,Pers,M,0,35.7,0.7,3.9,0.5,1.8,89.94,53.49,8,36,4,1.210
EQ4-S4,Pers,M,0,27.2,0.5,2.8,1.3,1.5,86.25,48.39,8,44,8,1.090
EQ4-T1,Pers,M,0,32.3,0.5,3.2,0.7,1.7,84,45.71,28,56,16,1.200
EQ4-T2,Pers,M,0,36.1,0.5,3.8,0.6,2.5,73.43,35.71,24,48,24,0.920
EQ4-T3,Pers,M,0,33.2,0.7,4.3,0.6,2.8,71.31,34.04,4,40,24,0.860
EQ4-U1,Rapa,M,0,39,0.5,4.7,0.5,3.2,67.68,31.37,24,40,28,1.190
EQ4-U2,Rapa,M,0,44.1,0.5,3.7,0.6,2,84.55,46.34,16,40,16,1.150
EQ4-U3,Rapa,M,0,36.8,1,3.5,0.8,2,80.59,42.11,20,36,16,1.145
EQ4-U4,Rapa,M,0,37,0.8,2.6,1.1,1.2,89.99,53.57,8,32,12,0.880
EQ4-A1,Control,M,8,31.2,0.9,3.4,0.7,1.6,88.49,51.35,12,52,8,1.130
EQ4-A2,Control,M,8,29.2,0.7,3.7,0.8,2.4,74.5,36.59,20,56,32,1.120
EQ4-A3,Control,M,8,34.7,0.7,5.4,0.5,3.3,77.28,38.98,4,44,12,1.100
EQ4-A4,Control,M,8,,,,,,,,,,,
EQ4-B1,Rapa,M,8,34.6,0.5,3.4,0.6,2,78.98,40.54,12,48,12,1.130
EQ4-B2,Rapa,M,8,33.4,0.7,4.1,0.6,2.4,80.71,42.22,0,48,12,1.170
