"","Control16","Rapa16","Pers16"
"Atp5c1",-0.0888179990743811,-0.952628373022293,1.04144637209667
"Ndufab1",0.567785711889676,-1.15464801041161,0.586862298521933
"Ndufs4",0.26293119463827,-1.10519573969153,0.842264545053262
"Snca",0.857168343771696,-1.09861911338276,0.24145076961106
"Prdx5",0.784131437071592,-1.12613207592253,0.342000638850943
"Sod2",0.988703374527346,-1.01092620066777,0.0222228261404229
"Ndufs6",0.99583252308155,-1.00411601408889,0.00828349100734326
"Atp5j",0.963343324277763,-1.03301296267522,0.0696696383974565
"Atp5b",0.930678520473264,-1.05726672086612,0.126588200392852
"Txn2",0.943285885877527,-1.0484087560104,0.105122870132873
"Cox5a",1.14075080224394,-0.725345415592035,-0.415405386651909
"Ndufv3",1.14992122865861,-0.665849975148913,-0.484071253509702
"Prdx3",1.05578980146548,-0.932840478978897,-0.12294932248658
"Ndufv2",1.06504858355713,-0.918857873023076,-0.146190710534058
"Atp5d",1.11769761931272,-0.809974323766365,-0.307723295546351
"Atp5e",1.10444981251531,-0.844017570192458,-0.260432242322854
"Xdh",1.10828488026225,-0.83481746241949,-0.273467417842755
"Cyc1",-0.791618084707203,1.12382388146979,-0.332205796762591
"Uqcrc1",-0.815772993182212,1.115619368299,-0.299846375116787
"Ndufa9",-0.824339163950315,1.11241861416533,-0.288079450215014
"Ndufa10",-0.863786816942488,1.09552301235979,-0.231736195417305
"Cox7a2l",-0.848185931416584,1.1026469203134,-0.25446098889682
"Park7",-0.853405951770401,1.10033025495883,-0.246924303188432
"Ndufb5",-0.88929833683348,1.08250601056779,-0.193207673734305
"Ndufa8",-0.905376217307035,1.07334939216579,-0.167973174858757
"Mt-Cyb",-1.03475898804405,0.961176043689263,0.0735829443547833
"Ndufb8",-1.0346792757476,0.961275553579901,0.0734037221677015
"Ndufa1",-1.09309601163125,0.868814715261216,0.224281296370036
"Cox7b",-1.06050892645471,0.925843407312506,0.134665519142207
"Sdha",-1.06236341556849,0.923020934950488,0.139342480618001
"Ndufb6",-0.935837376773515,1.05371413320965,-0.117876756436134
"Ndufa12",-0.942874255418881,1.04870751829882,-0.105833262879942
"Fis1",-0.945560600265863,1.04674577245565,-0.10118517218979
"Maob",-1.01136065191053,0.988238326433267,0.0231223254772655
"Ndufb7",-0.995086194005523,1.00484241680785,-0.00975622280232272
"Ogdh",-0.977673544498911,1.02092307191353,-0.0432495274146155
"Ndufv1",-0.986099085887022,1.0133441177851,-0.0272450318980761
"Ndufa2",-0.701050293281228,1.14512968017772,-0.444079386896495
"Vdac1",-0.732240448166045,1.13933943268573,-0.407098984519681
"Ndufs1",-0.72166115488239,1.14147382704396,-0.419812672161568
"Ndufa3",-0.715402662950997,1.14265309584193,-0.427250432890928
"Ndufs2",-0.544813533045915,1.15410039849357,-0.609286865447649
"Vdac2",-0.553253324713192,1.15436983038489,-0.6011165056717
"Atp5f1",-0.558764579534903,1.15450320055229,-0.595738621017389
"Ndufa4",-0.650176084739393,1.15149792500949,-0.501321840270096
"Ndufb3",-0.657005256700801,1.15085174490652,-0.493846488205722
"Ndufa11",-0.629376541411187,1.15308786328718,-0.523711321875992
"Cox4i1",-0.624440090999966,1.15338348358082,-0.528943392580849
"Cpt1b",-0.626876492551663,1.15324143590695,-0.526364943355283
"Pdha1",-0.606248141820967,1.15421007884621,-0.547961937025242
"Cox7a1",-0.591068630146993,1.15459101043307,-0.563522380286082
"Atp5a1",0.708276868241954,0.435645022552455,-1.1439218907944
"Ndufb11",-0.050201257676748,1.02415511949229,-0.973953861815542
"Ndufb4",-0.14416040224996,1.06425626101423,-0.920095858764265
"Ndufs3",-0.15728508014248,1.06932213139905,-0.912037051256567
"Aifm1",-0.34352238900199,1.12648328819673,-0.782960899194745
"Cox6a2",-0.486524932784013,1.1501638487565,-0.663638915972488
"Aco2",-0.43046613333074,1.14314695331728,-0.712680819986545
"Psmb6",-0.731365119202421,-0.408157731938666,1.13952285114109
"Cul1",-1.08923063949856,0.876552754340756,0.212677885157805
"Psmc5",0.610449578511236,0.543605867631603,-1.15405544614284
"Uba1",-0.599284376336977,1.15441916329639,-0.555134786959411
