Date,Sex,Condition,Age,Mouse,Fiber,PS,PercLC
Aug 21 18,M,Control,Old,7-2-LF,KCS,0.702040816,4
Aug 21 18,M,Control,Old,7-2-LF,KDE,0.3202,4
Aug 21 18,M,Control,Old,7-2-LB,KDJ,0.232396694,4
Aug 21 18,M,Control,Old,7-2-LB,KDO,0.786122449,4
Aug 21 18,M,Control,Old,7-2-LB,KDT,0.330577778,4
Aug 21 18,M,Control,Old,7-5-LB,KET,0.474201183,4
Aug 21 18,M,Control,Old,7-5-LB,KEY,-0.054844444,4
Aug 21 18,M,Control,Old,7-2-NP,KDZ,0.268984375,4
Aug 21 18,M,Control,Old,7-2-NP,KEE,0.36375,4
Aug 21 18,M,Control,Old,7-2-NP,KEJ,1.178730159,4
Aug 21 18,M,Control,Old,7-5-RF,KEB,0.709,4
Aug 21 18,M,Control,Old,7-5-RF,KEG,-0.127734375,4
Aug 21 18,M,Control,Old,7-2-LF,KCS,1.86255102,8
Aug 21 18,M,Control,Old,7-2-LF,KDE,1.0422,8
Aug 21 18,M,Control,Old,7-2-LB,KDJ,0.967438017,8
Aug 21 18,M,Control,Old,7-2-LB,KDO,2.239183673,8
Aug 21 18,M,Control,Old,7-2-LB,KDT,0.892888889,8
Aug 21 18,M,Control,Old,7-5-LB,KET,2.100118343,8
Aug 21 18,M,Control,Old,7-5-LB,KEY,0.1632,8
Aug 21 18,M,Control,Old,7-2-NP,KDZ,0.920546875,8
Aug 21 18,M,Control,Old,7-2-NP,KEE,1.153984375,8
Aug 21 18,M,Control,Old,7-2-NP,KEJ,6.739455782,8
Aug 21 18,M,Control,Old,7-5-RF,KEB,1.80125,8
Aug 21 18,M,Control,Old,7-5-RF,KEG,0.8259375,8
Aug 21 18,M,Control,Old,7-2-LF,KCS,3.304591837,12
Aug 21 18,M,Control,Old,7-2-LF,KDE,2.3622,12
Aug 21 18,M,Control,Old,7-2-LB,KDJ,1.948595041,12
Aug 21 18,M,Control,Old,7-2-LB,KDO,4.344897959,12
Aug 21 18,M,Control,Old,7-2-LB,KDT,1.703022222,12
Aug 21 18,M,Control,Old,7-5-LB,KET,6.038934911,12
Aug 21 18,M,Control,Old,7-5-LB,KEY,0.367022222,12
Aug 21 18,M,Control,Old,7-2-NP,KDZ,1.639765625,12
Aug 21 18,M,Control,Old,7-2-NP,KEE,2.292734375,12
Aug 21 18,M,Control,Old,7-2-NP,KEJ,21.38816327,12
Aug 21 18,M,Control,Old,7-5-RF,KEB,3.37985,12
Aug 21 18,M,Control,Old,7-5-RF,KEG,4.90578125,12
Aug 21 18,M,Control,Old,7-2-LF,KCS,5.971122449,16
Aug 21 18,M,Control,Old,7-2-LF,KDE,6.2166,16
